Target total_coverage average_coverage on_target
chr1:1216042-1216047 474.146738594441 79.0244564324069 TRUE
chr1:1216606-1216678 7006.51400310639 95.9796438781698 TRUE
chr1:1216791-1216991 33476.0256775032 166.547391430364 TRUE
chr1:1217622-1217696 6486.2270090527 86.4830267873693 TRUE
chr1:1219358-1219471 2021.16539079544 17.7295209718898 TRUE
chr1:1220951-1221045 2518.73057109829 26.512953379982 TRUE
chr1:1221306-1221659 99926.6792935771 282.278755066602 TRUE
chr1:1222148-1222356 26934.6081836184 128.873723366595 TRUE
chr1:1222489-1222680 19917.521530391 103.73709130412 TRUE
chr1:1222888-1222977 19596.0629186693 217.734032429659 TRUE
chr1:1223053-1223217 16495.2109903253 99.9709756989411 TRUE
chr1:1223319-1223418 3504.97798966658 35.0497798966658 TRUE
chr1:1225651-1225769 12636.4605939148 106.188744486679 TRUE
chr1:1225857-1225936 16050.1467389098 200.626834236372 TRUE
chr1:1226017-1226075 4181.57445624087 70.8741433261165 TRUE
chr1:1226275-1226334 1165.11855532984 19.4186425888306 TRUE
chr1:1226445-1226521 2599.11977875089 33.7548023214401 TRUE
chr1:1226634-1226991 34711.255859942 96.9588152512347 TRUE
chr1:3731966-3732082 12905.7900182901 110.305897592223 TRUE
chr1:3732844-3732935 2329.8367262764 25.3243122421348 TRUE
chr1:3739738-3739806 3431.00304558747 49.7246818201083 TRUE
chr1:3739988-3740127 27757.3993035287 198.267137882348 TRUE
chr1:3742322-3742431 11623.7375685572 105.670341532338 TRUE
chr1:3742934-3743001 1558.28622696824 22.9159739260036 TRUE
chr1:3743272-3743309 21314.9107094234 560.918702879562 TRUE
chr1:3745830-3745938 10631.4399283825 97.5361461319491 TRUE
chr1:3746355-3746562 7555.70230710549 36.3254918610841 TRUE
chr1:3747610-3747787 9815.38891524849 55.1426343553286 TRUE
chr1:3750426-3750600 8481.91263180264 48.4680721817294 TRUE
chr1:3751489-3751657 22877.3138759158 135.368721159265 TRUE
chr1:3753059-3753257 17163.5908505273 86.2492002539059 TRUE
chr1:3753856-3754084 19381.2400707201 84.6342361166816 TRUE
chr1:3755528-3755684 29524.8710377126 188.056503424921 TRUE
chr1:3756172-3756341 12879.6888979898 75.7628758705284 TRUE
chr1:3761471-3761548 5519.45839733487 70.7622871453189 TRUE
chr1:3761853-3761916 4881.30994243286 76.2704678505135 TRUE
chr1:3764039-3764178 10564.0604935254 75.4575749537532 TRUE
chr1:3765172-3765346 13600.5210953536 77.7172634020208 TRUE
chr1:3768859-3768972 14840.9804045159 130.184038636104 TRUE
chr1:6309398-6310064 22700.1293873188 34.0331774922321 TRUE
chr1:6310500-6310685 12554.8406943853 67.4991435182007 TRUE
chr1:6311398-6311591 36155.085170079 186.366418402469 TRUE
chr1:6313778-6314208 35375.9621842501 82.0787985713459 TRUE
chr1:6314610-6314966 46581.1358207769 130.479372046994 TRUE
chr1:8921419-8921489 3262.7038797354 45.9535757709212 TRUE
chr1:8922946-8923005 6184.42733562636 103.073788927106 TRUE
chr1:8923294-8923403 8284.80891328817 75.3164446662561 TRUE
chr1:8923950-8924152 17545.812696361 86.432574858921 TRUE
chr1:8925344-8925542 10701.2910588672 53.7753319541065 TRUE
chr1:8926338-8926561 37079.718789381 165.534458881165 TRUE
chr1:8927176-8927310 23368.8844711255 173.102847934263 TRUE
chr1:8928047-8928117 8776.54571198666 123.613319887136 TRUE
chr1:8930511-8930570 2960.52087713054 49.3420146188423 TRUE
chr1:8931950-8932046 7791.91988883386 80.3290710189058 TRUE
chr1:8934883-8934968 6277.23265576611 72.9910773926292 TRUE
chr1:10292387-10292493 8586.78529864812 80.2503298939077 TRUE
chr1:10316305-10316382 15388.0196952359 197.282303785076 TRUE
chr1:10318551-10318731 11940.9866108702 65.9723017175152 TRUE
chr1:10321963-10322029 7507.7829352806 112.056461720606 TRUE
chr1:10327438-10327617 9678.00055646839 53.7666697581577 TRUE
chr1:10328210-10328322 6103.08871467453 54.0096346431374 TRUE
chr1:10331560-10331638 6949.77699408005 87.9718606845576 TRUE
chr1:10332299-10332365 6843.52571055688 102.142174784431 TRUE
chr1:10335486-10335562 6002.13616206992 77.9498202866223 TRUE
chr1:10336379-10336458 10478.8689147486 130.985861434357 TRUE
chr1:10338044-10338187 7914.00953622187 54.9583995570963 TRUE
chr1:10342458-10342592 17605.4847708594 130.410998302662 TRUE
chr1:10351140-10351220 3796.45630732654 46.8698309546487 TRUE
chr1:10352105-10352181 4721.86111595141 61.3228716357326 TRUE
chr1:10355144-10355224 19731.5172661697 243.598978594688 TRUE
chr1:10355718-10355825 10155.3884018249 94.0313740909709 TRUE
chr1:10356640-10356724 4280.98687602569 50.3645514826552 TRUE
chr1:10356955-10357136 24940.5164259848 137.035804538378 TRUE
chr1:10357232-10357305 2871.37034663202 38.8023019815138 TRUE
chr1:10363221-10364706 206389.409760879 138.889239408398 TRUE
chr1:10380101-10380195 11056.4625550655 116.383816369111 TRUE
chr1:10381767-10381916 11594.0986213434 77.2939908089561 TRUE
chr1:10383942-10384121 17851.9042111672 99.1772456175953 TRUE
chr1:10384816-10384954 10569.5670026786 76.0400503789828 TRUE
chr1:10386169-10386418 39723.6649878685 158.894659951474 TRUE
chr1:10394578-10394697 20653.3473216116 172.111227680097 TRUE
chr1:10396715-10396801 10087.0548641082 115.943159357566 TRUE
chr1:10397132-10397262 15190.3131176878 115.95658868464 TRUE
chr1:10397429-10397592 25100.7745727631 153.053503492458 TRUE
chr1:10399827-10399918 6549.32381149638 71.1883022988737 TRUE
chr1:10402108-10402227 10759.9122312094 89.665935260078 TRUE
chr1:10403290-10403346 3045.29859516462 53.4262911432389 TRUE
chr1:10405903-10406012 12124.0538458787 110.21867132617 TRUE
chr1:10407819-10407886 8275.16337534961 121.693579049259 TRUE
chr1:10408707-10408792 17601.6247882272 204.670055677061 TRUE
chr1:10412689-10412795 12747.5500068475 119.135981372407 TRUE
chr1:10420987-10421102 22829.7965138123 196.808590636313 TRUE
chr1:10421750-10421884 22669.7343931388 167.923958467695 TRUE
chr1:10423341-10423403 4905.32848586961 77.8623569185652 TRUE
chr1:10425158-10425304 14451.2467251391 98.3078008512864 TRUE
chr1:10425467-10425707 54639.5777627653 226.720239679524 TRUE
chr1:10428525-10428597 7918.96869401829 108.47902320573 TRUE
chr1:10431199-10431321 17505.9237623925 142.324583434085 TRUE
chr1:10434374-10434524 16700.8728243903 110.601806784042 TRUE
chr1:10434912-10435105 12770.6113287943 65.8278934473935 TRUE
chr1:10435313-10435432 7918.16262597965 65.9846885498304 TRUE
chr1:10436603-10436646 6024.26556333853 136.915126439512 TRUE
chr1:12049226-12049401 10649.1795837039 60.506702180136 TRUE
chr1:12052612-12052748 20675.3860384766 150.915226558223 TRUE
chr1:12056213-12056376 18016.0292653066 109.853836983577 TRUE
chr1:12057354-12057479 12654.0742011172 100.429160326327 TRUE
chr1:12058827-12058936 27412.5753151916 249.205230138105 TRUE
chr1:12059045-12059153 15351.034269542 140.835176784789 TRUE
chr1:12061458-12061612 4041.2541069969 26.0726071419155 TRUE
chr1:12061826-12061894 8597.49259694934 124.601341984773 TRUE
chr1:12062039-12062161 14077.8371449707 114.453960528217 TRUE
chr1:12064049-12064176 10082.5716899683 78.7700913278772 TRUE
chr1:12064566-12064671 18477.9092396496 174.31989848726 TRUE
chr1:12064882-12064985 8593.88782171279 82.6335367472384 TRUE
chr1:12065768-12065989 22567.3639067085 101.654792372561 TRUE
chr1:12066595-12066751 8435.00476277605 53.7261449858347 TRUE
chr1:12067110-12067307 10578.5427210071 53.4269834394298 TRUE
chr1:12069649-12069784 19058.2534355382 140.134216437781 TRUE
chr1:12071553-12071623 6424.0236660575 90.4792065641902 TRUE
chr1:12939365-12939927 0 0 TRUE
chr1:12941675-12942257 164.289987755912 0.281801008157653 TRUE
chr1:12942923-12943216 8795.76729563297 29.9175758354863 TRUE
chr1:13474689-13475263 263.301103557644 0.457914962708946 TRUE
chr1:13476271-13476850 0 0 TRUE
chr1:13477236-13477523 3675.5108888648 12.7621905863361 TRUE
chr1:13695525-13696099 0 0 TRUE
chr1:13697107-13697686 827.775905625909 1.42719983728605 TRUE
chr1:13698072-13698359 2875.04997600514 9.98281241668452 TRUE
chr1:15764961-15765001 2226.83410957958 54.3130270629165 TRUE
chr1:15766796-15766888 1175.85082465994 12.643557254408 TRUE
chr1:15766989-15767087 8573.16792408606 86.5976557988491 TRUE
chr1:15768943-15769069 9769.72035400946 76.9269319213343 TRUE
chr1:15769914-15770051 27201.9890549394 197.115862716952 TRUE
chr1:15771101-15771247 11490.5230781914 78.1668236611657 TRUE
chr1:15772092-15772245 11573.2109388023 75.1507203818328 TRUE
chr1:15773070-15773085 1965.85782096197 122.866113810123 TRUE
chr1:16577165-16578281 156560.092170701 140.161228442884 TRUE
chr1:16578783-16578900 11503.6085571229 97.4882081112112 TRUE
chr1:16579591-16579648 2879.73792145868 49.6506538182531 TRUE
chr1:16580130-16580227 14614.4863759135 149.127411999117 TRUE
chr1:16582206-16582317 3793.60013201625 33.8714297501451 TRUE
chr1:16583101-16583255 17616.5399366843 113.655096365705 TRUE
chr1:16621278-16621413 7643.810480916 56.2044888302647 TRUE
chr1:16632298-16632415 4058.12494319906 34.3908893491446 TRUE
chr1:16641664-16641914 31355.7668290519 124.923373820924 TRUE
chr1:19401326-19401391 4134.26233339404 62.6403383847582 TRUE
chr1:19403234-19403397 30018.9547779423 183.042407182575 TRUE
chr1:19404470-19404561 4289.93641651535 46.6297436577755 TRUE
