Target total_coverage counts on_target duplication_rate
chr1:1216042-1216047 485.271863445025 2.41352263470522 TRUE NA
chr1:1216606-1216678 9418.65837201879 44.3100483575027 TRUE NA
chr1:1216791-1216991 44303.8851131705 209.025741601621 TRUE NA
chr1:1217622-1217696 6104.91399337206 30.9645465234149 TRUE NA
chr1:1219358-1219471 3260.5628908481 14.8727404157182 TRUE NA
chr1:1220951-1221045 2976.32721105093 14.3536399322324 TRUE NA
chr1:1221306-1221659 106062.60941082 523.233127688051 TRUE NA
chr1:1222148-1222356 28438.9248561558 140.458874274005 TRUE NA
chr1:1222489-1222680 18834.1086848756 95.4206351692035 TRUE NA
chr1:1222888-1222977 16337.9153916353 85.448977950908 TRUE NA
chr1:1223053-1223217 18401.7286824839 89.8088153060827 TRUE NA
chr1:1223319-1223418 6037.00533402997 27.2634566574229 TRUE NA
chr1:1225651-1225769 16425.3628910461 77.7550041123867 TRUE NA
chr1:1225857-1225936 16250.5846673126 81.0216488037905 TRUE NA
chr1:1226017-1226075 4290.42829020306 21.3265408733666 TRUE NA
chr1:1226275-1226334 2755.35523179729 11.9418876861394 TRUE NA
chr1:1226445-1226521 4581.03253904654 20.6183402795069 TRUE NA
chr1:1226634-1226991 32212.7828666421 163.946767787018 TRUE NA
chr1:3731966-3732082 17682.0024336463 82.8989978428205 TRUE NA
chr1:3732844-3732935 5673.76144734888 24.5104325585838 TRUE NA
chr1:3739738-3739806 4885.40540042656 22.7488704388569 TRUE NA
chr1:3739988-3740127 34844.0614427475 166.043389360793 TRUE NA
chr1:3742322-3742431 15657.0726593889 73.6315151152156 TRUE NA
chr1:3742934-3743001 2147.38690163391 10.0572029604784 TRUE NA
chr1:3743272-3743309 21909.898973507 108.862969947439 TRUE NA
chr1:3745830-3745938 10376.9753773216 52.1784898301398 TRUE NA
chr1:3746355-3746562 10361.8086246267 48.5712281413783 TRUE NA
chr1:3747610-3747787 10674.0486682218 52.3794820876783 TRUE NA
chr1:3750426-3750600 12599.4122430178 58.2461001252253 TRUE NA
chr1:3751489-3751657 30107.3244803953 142.194302473731 TRUE NA
chr1:3753059-3753257 22354.1958905995 105.781819791376 TRUE NA
chr1:3753856-3754084 21535.6243674332 105.192293802497 TRUE NA
chr1:3755528-3755684 30305.6577821002 150.627381128515 TRUE NA
chr1:3756172-3756341 21344.3067855699 96.9546671344878 TRUE NA
chr1:3761471-3761548 8246.14348894159 38.0845423390079 TRUE NA
chr1:3761853-3761916 3780.97451604665 20.1744903799096 TRUE NA
chr1:3764039-3764178 12205.2335301553 59.1325064546651 TRUE NA
chr1:3765172-3765346 15652.4660309261 75.8947013828161 TRUE NA
chr1:3768859-3768972 15569.0252687882 77.005074577473 TRUE NA
chr1:6309398-6310064 44524.5538632888 197.44074107494 TRUE NA
chr1:6310500-6310685 6325.72891010445 38.8160812246925 TRUE NA
chr1:6311398-6311591 38787.9354915164 190.901773240539 TRUE NA
chr1:6313778-6314208 29902.7486966093 155.82898981494 TRUE NA
chr1:6314610-6314966 64499.0758962501 301.82083324032 TRUE NA
chr1:8921419-8921489 3098.51270475107 15.6820148795065 TRUE NA
chr1:8922946-8923005 8461.67524632594 39.6807824885148 TRUE NA
chr1:8923294-8923403 11402.5976825376 53.4155398327848 TRUE NA
chr1:8923950-8924152 26538.2416730719 122.315328776847 TRUE NA
chr1:8925344-8925542 13314.6257628975 63.5577426175295 TRUE NA
chr1:8926338-8926561 38974.9611815019 192.687987762755 TRUE NA
chr1:8927176-8927310 30974.5941940896 146.097152059336 TRUE NA
chr1:8928047-8928117 7619.51129052205 39.4325961696848 TRUE NA
chr1:8930511-8930570 2590.88723377779 13.3809365266037 TRUE NA
chr1:8931950-8932046 8950.56621016957 43.4159314493066 TRUE NA
chr1:8934883-8934968 8964.1286470014 41.7203786297355 TRUE NA
chr1:10292387-10292493 10072.7425462766 48.6491466764271 TRUE NA
chr1:10316305-10316382 20372.8664171752 96.1125858682537 TRUE NA
chr1:10318551-10318731 11115.5184745207 56.5300556068529 TRUE NA
chr1:10321963-10322029 10964.9376395774 50.835663539083 TRUE NA
chr1:10327438-10327617 17544.7162590319 78.6466016383554 TRUE NA
chr1:10328210-10328322 7209.87667647463 34.7723203495269 TRUE NA
chr1:10331560-10331638 10522.3475774684 48.4895410603554 TRUE NA
chr1:10332299-10332365 8629.18722819573 41.08555746678 TRUE NA
chr1:10335486-10335562 6656.87470626552 32.5289059803327 TRUE NA
chr1:10336379-10336458 16052.6983164684 73.832149964973 TRUE NA
chr1:10338044-10338187 16387.2726334243 72.1595211318879 TRUE NA
chr1:10342458-10342592 17883.6916492582 89.097450309677 TRUE NA
chr1:10351140-10351220 7916.07284361402 34.8269605223538 TRUE NA
chr1:10352105-10352181 5038.99501208272 24.8290513341082 TRUE NA
chr1:10355144-10355224 23740.0271749055 114.074932133678 TRUE NA
chr1:10355718-10355825 8243.30940850734 43.4227920348262 TRUE NA
chr1:10356640-10356724 5767.27808469692 27.1214390288639 TRUE NA
chr1:10356955-10357136 36444.4944720424 168.948651537838 TRUE NA
chr1:10357232-10357305 4976.89443518419 22.4550213045146 TRUE NA
chr1:10363221-10364706 306052.387022383 1415.26619211787 TRUE NA
chr1:10380101-10380195 17650.9903194889 80.6458811000329 TRUE NA
chr1:10381767-10381916 14259.669032253 68.2226869948308 TRUE NA
chr1:10383942-10384121 23517.3856238087 111.04983418138 TRUE NA
chr1:10384816-10384954 17045.8369070597 77.7565654148588 TRUE NA
chr1:10386169-10386418 50393.7135648073 239.656973312184 TRUE NA
chr1:10394578-10394697 28441.2853760002 133.220344509553 TRUE NA
chr1:10396715-10396801 13676.2005861816 64.2396809439002 TRUE NA
chr1:10397132-10397262 16879.1559806275 82.447115061284 TRUE NA
chr1:10397429-10397592 37430.42277312 172.925596711342 TRUE NA
chr1:10399827-10399918 7733.24366885976 37.300156970418 TRUE NA
chr1:10402108-10402227 11659.6275785703 57.2600047997428 TRUE NA
chr1:10403290-10403346 4011.45694020406 18.9424866105902 TRUE NA
chr1:10405903-10406012 13195.0061550928 64.7393165725247 TRUE NA
chr1:10407819-10407886 6882.12735638984 36.0179860345951 TRUE NA
chr1:10408707-10408792 19364.4457350031 94.7882045056587 TRUE NA
chr1:10412689-10412795 12383.52179787 62.3376415381702 TRUE NA
chr1:10420987-10421102 34272.5346912916 158.159514020905 TRUE NA
chr1:10421750-10421884 28737.5179022235 136.686300846789 TRUE NA
chr1:10423341-10423403 4103.60115932766 21.4430757888021 TRUE NA
chr1:10425158-10425304 25059.3958388164 113.056807139839 TRUE NA
chr1:10425467-10425707 50047.127845863 255.534619902664 TRUE NA
chr1:10428525-10428597 9000.6130595013 43.7550141065646 TRUE NA
chr1:10431199-10431321 21813.9562108134 104.098974382812 TRUE NA
chr1:10434374-10434524 16054.8492279705 81.0196579818754 TRUE NA
chr1:10434912-10435105 13684.6797859892 67.3687045562596 TRUE NA
chr1:10435313-10435432 8180.18670792649 40.598598060463 TRUE NA
chr1:10436603-10436646 10424.9129697846 47.0468947645621 TRUE NA
chr1:12049226-12049401 17374.5637529094 79.1127601077714 TRUE NA
chr1:12052612-12052748 28300.3363921795 132.70366232201 TRUE NA
chr1:12056213-12056376 20257.0622504855 98.6995039618365 TRUE NA
chr1:12057354-12057479 13129.0692357791 65.0972749850548 TRUE NA
chr1:12058827-12058936 34942.1703144491 166.022857342333 TRUE NA
chr1:12059045-12059153 19211.969953028 91.6049239765023 TRUE NA
chr1:12061458-12061612 4448.81014237604 21.7737937479812 TRUE NA
chr1:12061826-12061894 12694.9595017178 58.74695108001 TRUE NA
chr1:12062039-12062161 18002.1653795403 85.4827558578135 TRUE NA
chr1:12064049-12064176 12254.5703075531 58.7666992867061 TRUE NA
chr1:12064566-12064671 20288.7699077632 99.3543949217618 TRUE NA
chr1:12064882-12064985 6828.44345749939 36.1792684769739 TRUE NA
chr1:12065768-12065989 33469.1304288963 154.766690772726 TRUE NA
chr1:12066595-12066751 18766.0331117696 81.9097482330862 TRUE NA
chr1:12067110-12067307 10933.3976598577 54.2575402929224 TRUE NA
chr1:12069649-12069784 21353.6796160868 104.11982941057 TRUE NA
chr1:12071553-12071623 4153.9675152653 23.3891331349329 TRUE NA
chr1:12939365-12939927 436.943205833712 1.68055079166812 TRUE NA
chr1:12941675-12942257 38.0475379670642 0.335902054976299 TRUE NA
chr1:12942923-12943216 8790.95516937437 43.9603283002472 TRUE NA
chr1:13474689-13475263 0 0.303808965643436 TRUE NA
chr1:13476271-13476850 215.732110156195 0.829738885216135 TRUE NA
chr1:13477236-13477523 3453.282902794 17.5228314209748 TRUE NA
chr1:13695525-13696099 0 0 TRUE NA
chr1:13697107-13697686 418.774096185554 2.56579564566664 TRUE NA
chr1:13698072-13698359 5444.82498351807 24.2589999089216 TRUE NA
chr1:15764961-15765001 1888.11137796264 9.83139081090967 TRUE NA
chr1:15766796-15766888 1436.78981467937 6.88286562337443 TRUE NA
chr1:15766989-15767087 6021.71240265621 33.0525491533924 TRUE NA
chr1:15768943-15769069 13906.005472467 64.7573906871917 TRUE NA
chr1:15769914-15770051 21478.921072925 113.998145343872 TRUE NA
chr1:15771101-15771247 16287.0667806972 75.9008604005947 TRUE NA
chr1:15772092-15772245 11772.1170463637 58.6310781846323 TRUE NA
chr1:15773070-15773085 1889.84895545866 9.5369473144125 TRUE NA
chr1:16577165-16578281 184530.339064606 890.37833352237 TRUE NA
chr1:16578783-16578900 11924.8187581894 59.1380820204857 TRUE NA
chr1:16579591-16579648 3354.92704422903 16.2263400794871 TRUE NA
chr1:16580130-16580227 19881.681219462 93.3308735855232 TRUE NA
chr1:16582206-16582317 4934.39167969159 23.3556604588326 TRUE NA
chr1:16583101-16583255 17804.2515158741 88.80466729569 TRUE NA
chr1:16621278-16621413 14262.1241928089 63.6741051426296 TRUE NA
chr1:16632298-16632415 5175.9326257918 24.5898850336597 TRUE NA
chr1:16641664-16641914 37529.3225163624 180.523279096454 TRUE NA
chr1:19401326-19401391 5152.92882127523 24.5892596972825 TRUE NA
chr1:19403234-19403397 37964.8262097575 180.655817858232 TRUE NA
chr1:19404470-19404561 4160.53150911961 20.9519709002854 TRUE NA
chr1:19407843-19408068 47944.7139413064 220.706919744018 TRUE NA
chr1:19410998-19411193 22846.2094302291 112.830651517524 TRUE NA
chr1:19412639-19412765 10150.9144645892 47.8605447840164 TRUE NA
chr1:19413173-19413316 14562.0205584883 67.3427622130768 TRUE NA
chr1:19414310-19414424 5013.79020327716 22.9981212660641 TRUE NA
chr1:19415253-19415472 22876.0767743499 110.547507236717 TRUE NA
chr1:19419313-19419413 12100.2352358352 57.824009767084 TRUE NA
chr1:19419807-19419981 22949.3900374371 111.492899329126 TRUE NA
chr1:19420443-19420634 12023.5841586258 59.0666895705068 TRUE NA
chr1:19421400-19421520 16487.1803817284 83.4918096703726 TRUE NA
chr1:19422039-19422147 6769.69901524331 33.5071054195912 TRUE NA
