Target	gc_bias	Gene
chr1:1216042-1216047	0.5	SCNN1D,TEST1
chr1:1216606-1216678	0.657534246575342	SCNN1D
chr1:1216791-1216991	0.661691542288557	SCNN1D
chr1:1217622-1217696	0.653333333333333	SCNN1D
chr1:1219358-1219471	0.657894736842105	SCNN1D
chr1:1220951-1221045	0.663157894736842	SCNN1D
chr1:1221306-1221659	0.69774011299435	SCNN1D
chr1:1222148-1222356	0.655502392344498	SCNN1D
chr1:1222489-1222680	0.651041666666667	SCNN1D
chr1:1222888-1222977	0.666666666666667	SCNN1D
chr1:1223053-1223217	0.666666666666667	SCNN1D
chr1:1223319-1223418	0.7	SCNN1D
chr1:1225651-1225769	0.680672268907563	SCNN1D
chr1:1225857-1225936	0.6875	SCNN1D
chr1:1226017-1226075	0.610169491525424	SCNN1D
chr1:1226275-1226334	0.633333333333333	SCNN1D
chr1:1226445-1226521	0.597402597402597	SCNN1D
chr1:1226634-1226991	0.687150837988827	SCNN1D
chr1:3731966-3732082	0.641025641025641	CEP104
chr1:3732844-3732935	0.630434782608696	CEP104
chr1:3739738-3739806	0.579710144927536	CEP104
chr1:3739988-3740127	0.485714285714286	CEP104
chr1:3742322-3742431	0.463636363636364	CEP104
chr1:3742934-3743001	0.514705882352941	CEP104
chr1:3743272-3743309	0.421052631578947	CEP104
chr1:3745830-3745938	0.431192660550459	CEP104
chr1:3746355-3746562	0.480769230769231	CEP104
chr1:3747610-3747787	0.50561797752809	CEP104
chr1:3750426-3750600	0.411428571428571	CEP104
chr1:3751489-3751657	0.461538461538462	CEP104
chr1:3753059-3753257	0.5678391959799	CEP104
chr1:3753856-3754084	0.480349344978166	CEP104
chr1:3755528-3755684	0.579617834394904	CEP104
chr1:3756172-3756341	0.382352941176471	CEP104
chr1:3761471-3761548	0.564102564102564	CEP104
chr1:3761853-3761916	0.40625	CEP104
chr1:3764039-3764178	0.364285714285714	CEP104
chr1:3765172-3765346	0.394285714285714	CEP104
chr1:3768859-3768972	0.570175438596491	CEP104
chr1:6309398-6310064	0.80359820089955	GPR153
chr1:6310500-6310685	0.60752688172043	GPR153
chr1:6311398-6311591	0.670103092783505	GPR153
chr1:6313778-6314208	0.654292343387471	GPR153
chr1:6314610-6314966	0.624649859943978	GPR153
chr1:8921419-8921489	0.52112676056338	ENO1
chr1:8922946-8923005	0.583333333333333	ENO1
chr1:8923294-8923403	0.609090909090909	ENO1
chr1:8923950-8924152	0.551724137931034	ENO1
chr1:8925344-8925542	0.557788944723618	ENO1
chr1:8926338-8926561	0.508928571428571	ENO1
chr1:8927176-8927310	0.607407407407407	ENO1
chr1:8928047-8928117	0.366197183098592	ENO1
chr1:8930511-8930570	0.483333333333333	ENO1
chr1:8931950-8932046	0.536082474226804	ENO1
chr1:8934883-8934968	0.476744186046512	ENO1
chr1:10292387-10292493	0.532710280373832	KIF1B
chr1:10316305-10316382	0.423076923076923	KIF1B
chr1:10318551-10318731	0.441988950276243	KIF1B
chr1:10321963-10322029	0.313432835820896	KIF1B
chr1:10327438-10327617	0.461111111111111	KIF1B
chr1:10328210-10328322	0.451327433628319	KIF1B
chr1:10331560-10331638	0.468354430379747	KIF1B
chr1:10332299-10332365	0.432835820895522	KIF1B
chr1:10335486-10335562	0.350649350649351	KIF1B
chr1:10336379-10336458	0.5375	KIF1B
chr1:10338044-10338187	0.444444444444444	KIF1B
chr1:10342458-10342592	0.503703703703704	KIF1B
chr1:10351140-10351220	0.432098765432099	KIF1B
chr1:10352105-10352181	0.506493506493506	KIF1B
chr1:10355144-10355224	0.395061728395062	KIF1B
chr1:10355718-10355825	0.564814814814815	KIF1B
chr1:10356640-10356724	0.552941176470588	KIF1B
chr1:10356955-10357136	0.483516483516484	KIF1B
chr1:10357232-10357305	0.432432432432432	KIF1B
chr1:10363221-10364706	0.468371467025572	KIF1B
chr1:10380101-10380195	0.484210526315789	KIF1B
chr1:10381767-10381916	0.48	KIF1B
chr1:10383942-10384121	0.466666666666667	KIF1B
chr1:10384816-10384954	0.546762589928058	KIF1B
chr1:10386169-10386418	0.572	KIF1B
chr1:10394578-10394697	0.566666666666667	KIF1B
chr1:10396715-10396801	0.379310344827586	KIF1B
chr1:10397132-10397262	0.473282442748092	KIF1B
chr1:10397429-10397592	0.463414634146341	KIF1B
chr1:10399827-10399918	0.489130434782609	KIF1B
chr1:10402108-10402227	0.425	KIF1B
chr1:10403290-10403346	0.666666666666667	KIF1B
chr1:10405903-10406012	0.5	KIF1B
chr1:10407819-10407886	0.529411764705882	KIF1B
chr1:10408707-10408792	0.523255813953488	KIF1B
chr1:10412689-10412795	0.467289719626168	KIF1B
chr1:10420987-10421102	0.508620689655172	KIF1B
chr1:10421750-10421884	0.548148148148148	KIF1B
chr1:10423341-10423403	0.46031746031746	KIF1B
chr1:10425158-10425304	0.54421768707483	KIF1B
chr1:10425467-10425707	0.547717842323652	KIF1B
chr1:10428525-10428597	0.534246575342466	KIF1B
chr1:10431199-10431321	0.536585365853659	KIF1B
chr1:10434374-10434524	0.463576158940397	KIF1B
chr1:10434912-10435105	0.479381443298969	KIF1B
chr1:10435313-10435432	0.508333333333333	KIF1B
chr1:10436603-10436646	0.522727272727273	KIF1B
chr1:12049226-12049401	0.488636363636364	MFN2
chr1:12052612-12052748	0.518248175182482	MFN2
chr1:12056213-12056376	0.567073170731707	MFN2
chr1:12057354-12057479	0.571428571428571	MFN2
chr1:12058827-12058936	0.527272727272727	MFN2
chr1:12059045-12059153	0.55045871559633	MFN2
chr1:12061458-12061612	0.612903225806452	MFN2
chr1:12061826-12061894	0.478260869565217	MFN2
chr1:12062039-12062161	0.601626016260163	MFN2
chr1:12064049-12064176	0.484375	MFN2
chr1:12064566-12064671	0.518867924528302	MFN2
chr1:12064882-12064985	0.586538461538462	MFN2
chr1:12065768-12065989	0.536036036036036	MFN2
chr1:12066595-12066751	0.617834394904459	MFN2
chr1:12067110-12067307	0.595959595959596	MFN2
chr1:12069649-12069784	0.507352941176471	MFN2
chr1:12071553-12071623	0.507042253521127	MFN2
chr1:12939365-12939927	0.492007104795737	PRAMEF4
chr1:12941675-12942257	0.48885077186964	PRAMEF4
chr1:12942923-12943216	0.598639455782313	PRAMEF4
chr1:13474689-13475263	0.547826086956522	PRAMEF19
chr1:13476271-13476850	0.475862068965517	PRAMEF19
chr1:13477236-13477523	0.611111111111111	PRAMEF19
chr1:13695525-13696099	0.546086956521739	PRAMEF19
chr1:13697107-13697686	0.475862068965517	PRAMEF19
chr1:13698072-13698359	0.611111111111111	PRAMEF19
chr1:15764961-15765001	0.609756097560976	CTRC
chr1:15766796-15766888	0.720430107526882	CTRC
chr1:15766989-15767087	0.565656565656566	CTRC
chr1:15768943-15769069	0.574803149606299	CTRC
chr1:15769914-15770051	0.601449275362319	CTRC
chr1:15771101-15771247	0.619047619047619	CTRC
chr1:15772092-15772245	0.62987012987013	CTRC
chr1:15773070-15773085	0.375	CTRC
chr1:16577165-16578281	0.540734109221128	FBXO42
chr1:16578783-16578900	0.550847457627119	FBXO42
chr1:16579591-16579648	0.482758620689655	FBXO42
chr1:16580130-16580227	0.591836734693878	FBXO42
chr1:16582206-16582317	0.508928571428571	FBXO42
chr1:16583101-16583255	0.509677419354839	FBXO42
chr1:16621278-16621413	0.470588235294118	FBXO42
chr1:16632298-16632415	0.508474576271186	FBXO42
chr1:16641664-16641914	0.50199203187251	FBXO42
chr1:19401326-19401391	0.484848484848485	UBR4
chr1:19403234-19403397	0.567073170731707	UBR4
chr1:19404470-19404561	0.467391304347826	UBR4
chr1:19407843-19408068	0.588495575221239	UBR4
chr1:19410998-19411193	0.566326530612245	UBR4
chr1:19412639-19412765	0.606299212598425	UBR4
chr1:19413173-19413316	0.5625	UBR4
chr1:19414310-19414424	0.556521739130435	UBR4
chr1:19415253-19415472	0.590909090909091	UBR4
chr1:19419313-19419413	0.564356435643564	UBR4
chr1:19419807-19419981	0.457142857142857	UBR4
chr1:19420443-19420634	0.515625	UBR4
chr1:19421400-19421520	0.537190082644628	UBR4
chr1:19422039-19422147	0.486238532110092	UBR4
chr1:19423017-19423145	0.488372093023256	UBR4
chr1:19423687-19423775	0.561797752808989	UBR4
chr1:19426091-19426172	0.402439024390244	UBR4
chr1:19426870-19427068	0.522613065326633	UBR4
chr1:19428014-19428136	0.51219512195122	UBR4
chr1:19430578-19430752	0.52	UBR4
chr1:19431079-19431161	0.55421686746988	UBR4
chr1:19431542-19431684	0.552447552447552	UBR4
chr1:19432227-19432337	0.612612612612613	UBR4
chr1:19433063-19433221	0.534591194968553	UBR4
chr1:19433331-19433461	0.549618320610687	UBR4
chr1:19436590-19436718	0.472868217054264	UBR4
chr1:19436874-19436959	0.558139534883721	UBR4
chr1:19437236-19437327	0.565217391304348	UBR4
chr1:19439018-19439362	0.576811594202899	UBR4
chr1:19440193-19440322	0.492307692307692	UBR4
chr1:19440439-19440565	0.503937007874016	UBR4
chr1:19441305-19441444	0.485714285714286	UBR4
chr1:19441892-19442132	0.551867219917012	UBR4
chr1:19443715-19443909	0.487179487179487	UBR4
chr1:19444317-19444405	0.50561797752809	UBR4
chr1:19445366-19445452	0.425287356321839	UBR4
chr1:19446051-19446196	0.486301369863014	UBR4
chr1:19446674-19446843	0.547058823529412	UBR4
chr1:19447683-19447929	0.546558704453441	UBR4
chr1:19448428-19448507	0.5125	UBR4
chr1:19449327-19449555	0.54585152838428	UBR4
chr1:19451035-19451185	0.450331125827815	UBR4
chr1:19452940-19453150	0.540284360189573	UBR4
chr1:19454117-19454234	0.491525423728814	UBR4
chr1:19454705-19454813	0.467889908256881	UBR4
chr1:19455472-19455569	0.551020408163265	UBR4
chr1:19464501-19464676	0.585227272727273	UBR4
chr1:19465577-19465715	0.640287769784173	UBR4
chr1:19467282-19467387	0.660377358490566	UBR4
chr1:19467841-19468019	0.592178770949721	UBR4
chr1:19468141-19468272	0.492424242424242	UBR4
chr1:19470474-19470586	0.495575221238938	UBR4
chr1:19471280-19471402	0.447154471544715	UBR4
chr1:19472287-19472428	0.507042253521127	UBR4
chr1:19473320-19473495	0.534090909090909	UBR4
chr1:19474487-19474622	0.610294117647059	UBR4
chr1:19475057-19475121	0.523076923076923	UBR4
chr1:19477071-19477288	0.536697247706422	UBR4
chr1:19478137-19478354	0.509174311926605	UBR4
chr1:19478807-19478971	0.490909090909091	UBR4
chr1:19479795-19479997	0.532019704433498	UBR4
chr1:19480262-19480434	0.502890173410405	UBR4
chr1:19481412-19481570	0.528301886792453	UBR4
chr1:19481935-19482163	0.436681222707424	UBR4
chr1:19482765-19482918	0.493506493506494	UBR4
chr1:19483261-19483420	0.5125	UBR4
chr1:19484309-19484492	0.58695652173913	UBR4
chr1:19486605-19486776	0.534883720930233	UBR4
chr1:19487411-19487642	0.543103448275862	UBR4
chr1:19488083-19488231	0.503355704697987	UBR4
chr1:19488321-19488392	0.375	UBR4
chr1:19488914-19489106	0.523316062176166	UBR4
chr1:19490258-19490322	0.369230769230769	UBR4
chr1:19490747-19490936	0.557894736842105	UBR4
chr1:19491293-19491492	0.56	UBR4
chr1:19491743-19491844	0.42156862745098	UBR4
chr1:19492150-19492252	0.485436893203884	UBR4
chr1:19493516-19493726	0.483412322274882	UBR4
chr1:19494521-19494679	0.528301886792453	UBR4
chr1:19495929-19496027	0.464646464646465	UBR4
chr1:19497256-19497378	0.455284552845528	UBR4
chr1:19499358-19499588	0.480519480519481	UBR4
chr1:19499675-19499801	0.448818897637795	UBR4
chr1:19499933-19500116	0.46195652173913	UBR4
chr1:19500813-19500942	0.476923076923077	UBR4
chr1:19501448-19501528	0.518518518518518	UBR4
chr1:19503086-19503222	0.503649635036496	UBR4
chr1:19503955-19504238	0.496478873239437	UBR4
chr1:19505545-19505715	0.532163742690059	UBR4
chr1:19510305-19510391	0.482758620689655	UBR4
chr1:19510510-19510670	0.440993788819876	UBR4
chr1:19511593-19511781	0.544973544973545	UBR4
chr1:19513034-19513152	0.588235294117647	UBR4
chr1:19513658-19513796	0.525179856115108	UBR4
chr1:19513935-19514035	0.475247524752475	UBR4
chr1:19518682-19518873	0.515625	UBR4
chr1:19518975-19519035	0.524590163934426	UBR4
chr1:19519927-19520052	0.531746031746032	UBR4
chr1:19523635-19523760	0.436507936507937	UBR4
chr1:19524164-19524306	0.454545454545455	UBR4
chr1:19524441-19524544	0.442307692307692	UBR4
chr1:19525035-19525175	0.453900709219858	UBR4
chr1:19525293-19525423	0.450381679389313	UBR4
chr1:19526145-19526249	0.514285714285714	UBR4
chr1:19528212-19528310	0.414141414141414	UBR4
chr1:19536567-19536743	0.734463276836158	UBR4
chr1:19992247-19992961	0.697902097902098	HTR6
chr1:20005060-20005219	0.625	HTR6
chr1:20005412-20005862	0.678492239467849	HTR6
chr1:20517055-20517898	0.524881516587678	UBXN10
chr1:21924213-21924222	0.6	RAP1GAP
chr1:21924454-21924558	0.647619047619048	RAP1GAP
chr1:21924893-21924996	0.605769230769231	RAP1GAP
chr1:21925987-21926111	0.672	RAP1GAP
chr1:21928177-21928291	0.626086956521739	RAP1GAP
chr1:21929297-21929407	0.621621621621622	RAP1GAP
chr1:21930328-21930406	0.544303797468354	RAP1GAP
chr1:21932559-21932691	0.654135338345865	RAP1GAP
chr1:21934706-21934844	0.618705035971223	RAP1GAP
chr1:21935343-21935430	0.477272727272727	RAP1GAP
chr1:21936068-21936140	0.602739726027397	RAP1GAP
chr1:21936613-21936769	0.617834394904459	RAP1GAP
chr1:21937945-21938075	0.603053435114504	RAP1GAP
chr1:21938209-21938310	0.5	RAP1GAP
chr1:21938519-21938603	0.494117647058824	RAP1GAP
chr1:21939669-21939723	0.509090909090909	RAP1GAP
chr1:21940121-21940200	0.5375	RAP1GAP
chr1:21940479-21940583	0.561904761904762	RAP1GAP
chr1:21943799-21943985	0.609625668449198	RAP1GAP
chr1:21944427-21944466	0.575	RAP1GAP
chr1:21945518-21945566	0.612244897959184	RAP1GAP
chr1:21946508-21946544	0.378378378378378	RAP1GAP
chr1:21952797-21952891	0.536842105263158	RAP1GAP
chr1:21976254-21976290	0.594594594594595	RAP1GAP
chr1:21978272-21978316	0.711111111111111	RAP1GAP
chr1:22138945-22139030	0.581395348837209	LDLRAD2
chr1:22140891-22141317	0.725995316159251	LDLRAD2
chr1:22142436-22142568	0.62406015037594	LDLRAD2
chr1:22147943-22148105	0.619631901840491	LDLRAD2
chr1:22148695-22148709	0.533333333333333	LDLRAD2
chr1:22404972-22405077	0.415094339622642	CDC42
chr1:22408215-22408288	0.391891891891892	CDC42
chr1:22412932-22413042	0.396396396396396	CDC42
chr1:22413162-22413360	0.477386934673367	CDC42
chr1:22416436-22416526	0.461538461538462	CDC42
chr1:22417921-22418011	0.494505494505495	CDC42
chr1:23337394-23337595	0.455445544554455	C1orf234
chr1:23340376-23340539	0.542682926829268	C1orf234
chr1:23342265-23342267	0.333333333333333	C1orf234
chr1:23688462-23689715	0.467304625199362	ZNF436
chr1:23693535-23693662	0.5	ZNF436
chr1:23694466-23694499	0.676470588235294	ZNF436
chr1:24069916-24070069	0.720779220779221	TCEB3
chr1:24075511-24075568	0.396551724137931	TCEB3
chr1:24076332-24076439	0.527777777777778	TCEB3
chr1:24077335-24078521	0.501263689974726	TCEB3
chr1:24078897-24079009	0.566371681415929	TCEB3
chr1:24080590-24080746	0.452229299363057	TCEB3
chr1:24080853-24080951	0.454545454545455	TCEB3
chr1:24082333-24082514	0.461538461538462	TCEB3
chr1:24082764-24082876	0.557522123893805	TCEB3
chr1:24083443-24083616	0.586206896551724	TCEB3
chr1:24086002-24086064	0.396825396825397	TCEB3
chr1:24122439-24122498	0.583333333333333	GALE
chr1:24122641-24122756	0.637931034482759	GALE
chr1:24122999-24123077	0.569620253164557	GALE
chr1:24123187-24123273	0.563218390804598	GALE
chr1:24123366-24123433	0.588235294117647	GALE
chr1:24123524-24123638	0.573913043478261	GALE
chr1:24124185-24124362	0.584269662921348	GALE
chr1:24124607-24124721	0.565217391304348	GALE
chr1:24125105-24125221	0.615384615384615	GALE
chr1:24125377-24125498	0.573770491803279	GALE
chr1:24128953-24129055	0.466019417475728	HMGCL
chr1:24130890-24131016	0.574803149606299	HMGCL
chr1:24134625-24134814	0.573684210526316	HMGCL
chr1:24137226-24137290	0.538461538461538	HMGCL
chr1:24140680-24140829	0.5	HMGCL
chr1:24143165-24143261	0.515463917525773	HMGCL
chr1:24143966-24144074	0.440366972477064	HMGCL
chr1:24147000-24147084	0.470588235294118	HMGCL
chr1:24151846-24151906	0.688524590163934	HMGCL
chr1:25666978-25667071	0.468085106382979	TMEM50A
chr1:25669452-25669565	0.403508771929825	TMEM50A
chr1:25678117-25678185	0.449275362318841	TMEM50A
chr1:25679373-25679466	0.425531914893617	TMEM50A
chr1:25683284-25683345	0.354838709677419	TMEM50A
chr1:25687151-25687197	0.468085106382979	TMEM50A
chr1:26517119-26517332	0.607476635514019	CATSPER4
chr1:26517778-26517922	0.586206896551724	CATSPER4
chr1:26520278-26520380	0.446601941747573	CATSPER4
chr1:26524177-26524275	0.414141414141414	CATSPER4
chr1:26524448-26524569	0.60655737704918	CATSPER4
chr1:26524777-26524911	0.503703703703704	CATSPER4
chr1:26526375-26526550	0.494318181818182	CATSPER4
chr1:26527321-26527533	0.553990610328638	CATSPER4
chr1:26527845-26528011	0.568862275449102	CATSPER4
chr1:26528980-26529034	0.418181818181818	CATSPER4
chr1:26566275-26566330	0.517857142857143	CEP85
chr1:26570657-26570810	0.564935064935065	CEP85
chr1:26581662-26582357	0.514367816091954	CEP85
chr1:26584088-26584222	0.474074074074074	CEP85
chr1:26584634-26584752	0.588235294117647	CEP85
chr1:26586108-26586294	0.449197860962567	CEP85
chr1:26594974-26595127	0.493506493506494	CEP85
chr1:26595951-26596106	0.512820512820513	CEP85
chr1:26597505-26597599	0.515789473684211	CEP85
chr1:26598512-26598563	0.5	CEP85
chr1:26601455-26601563	0.614678899082569	CEP85
chr1:26603026-26603252	0.577092511013216	CEP85
chr1:26603624-26603785	0.493827160493827	CEP85
chr1:26644509-26644563	0.527272727272727	CD52
chr1:26646662-26646794	0.496240601503759	CD52
chr1:28052592-28052673	0.670731707317073	FAM76A
chr1:28053983-28054048	0.545454545454545	FAM76A
chr1:28056743-28056845	0.572815533980582	FAM76A
chr1:28059114-28059169	0.392857142857143	FAM76A
chr1:28060542-28060695	0.415584415584416	FAM76A
